"","x","y","inclusion.probabilities","ID"
"1",114.82637207,-33.813688965,0.00130890052356021,5597
"2",114.94137207,-33.698688965,0.000532197977647685,1365
"3",114.88387207,-33.991188965,0.000532197977647685,12223
"4",114.86887207,-33.838688965,0.000532197977647685,6544
"5",114.82137207,-33.711188965,0.00132013201320132,1782
"6",114.93637207,-33.903688965,0.000532197977647685,8989
"7",114.87887207,-33.788688965,0.00130890052356021,4688
"8",114.92387207,-33.886188965,0.000204331834899877,8333
"9",114.86637207,-33.771188965,0.000532197977647685,4032
"10",114.89387207,-33.923688965,0.000532197977647685,9716
"11",114.80137207,-33.693688965,0.00132013201320132,1123
"12",114.82887207,-33.948688965,0.00130890052356021,10620
"13",114.81387207,-33.796188965,0.00130890052356021,4941
"14",114.92887207,-33.681188965,0.00130890052356021,709
"15",114.84387207,-33.668688965,0.00132013201320132,210
"16",114.81637207,-33.881188965,0.00132013201320132,8104
"17",114.93137207,-33.766188965,0.00130890052356021,3872
"18",114.80137207,-33.728688965,0.00132013201320132,2425
"19",114.91637207,-33.921188965,0.00132013201320132,9632
"20",114.82887207,-33.983688965,0.000532197977647685,11922
"21",114.94387207,-33.868688965,0.000532197977647685,7690
"22",114.88637207,-33.753688965,0.00132013201320132,3389
"23",114.85137207,-33.906188965,0.000532197977647685,9048
"24",114.82137207,-33.676188965,0.00130890052356021,480
