"","x","y","inclusion.probabilities","ID"
"1",114.84887207,-33.923688965,0.00112739571589628,9698
"2",114.96387207,-33.808688965,0.00112739571589628,5466
"3",114.83387207,-33.796188965,0.00201612903225806,4949
"4",114.94887207,-33.681188965,0.00130890052356021,717
"5",114.91387207,-33.938688965,0.000156030581994071,10282
"6",114.85637207,-33.823688965,0.00201612903225806,5981
"7",114.82637207,-33.898688965,0.00201612903225806,8759
"8",114.88387207,-33.668688965,0.000156030581994071,226
"9",114.93387207,-33.716188965,0.00130890052356021,2013
"10",114.87637207,-33.908688965,0.00112739571589628,9151
"11",114.86137207,-33.856188965,0.00201612903225806,7192
"12",114.83137207,-33.933688965,0.00130890052356021,10063
"13",114.94637207,-33.818688965,0.00201612903225806,5831
"14",114.82387207,-33.778688965,0.00130890052356021,4294
"15",114.93887207,-33.968688965,0.00130890052356021,11408
"16",114.88137207,-33.853688965,0.00201612903225806,7107
"17",114.89637207,-33.956188965,0.00201612903225806,10926
"18",114.82137207,-33.983688965,0.00130890052356021,11919
"19",114.93637207,-33.868688965,0.00130890052356021,7687
"20",114.80637207,-33.828688965,0.000156030581994071,6147
"21",114.86387207,-33.906188965,0.00201612903225806,9053
"22",114.95137207,-34.003688965,0.00112739571589628,12715
"23",114.89387207,-33.888688965,0.00201612903225806,8414
"24",114.82887207,-33.811188965,0.00130890052356021,5505
