"","x","y","inclusion.probabilities","ID"
"1",114.81637207,-33.958688965,0.000312061163988142,10987
"2",114.91637207,-33.691188965,0.00261780104712042,1076
"3",114.85887207,-33.983688965,0.00106439595529537,11934
"4",114.88887207,-33.831188965,0.00261780104712042,6273
"5",114.82387207,-33.856188965,0.00261780104712042,7177
"6",114.93887207,-33.741188965,0.00261780104712042,2945
"7",114.80887207,-33.703688965,0.000312061163988142,1498
"8",114.95137207,-33.893688965,0.00106439595529537,8623
"9",114.84887207,-33.931188965,0.00106439595529537,9977
"10",114.96387207,-33.816188965,0.00106439595529537,5745
"11",114.83387207,-33.803688965,0.00106439595529537,5228
"12",114.94887207,-33.688688965,0.00106439595529537,996
"13",114.91387207,-33.943688965,0.000312061163988142,10468
"14",114.85637207,-33.828688965,0.00106439595529537,6167
"15",114.88387207,-33.676188965,0.000312061163988142,505
"16",114.81137207,-33.888688965,0.00261780104712042,8381
"17",114.84637207,-33.761188965,0.00261780104712042,3652
"18",114.93137207,-33.723688965,0.00261780104712042,2291
"19",114.87387207,-33.913688965,0.00106439595529537,9336
"20",114.80387207,-33.683688965,0.00261780104712042,752
"21",114.86137207,-33.863688965,0.00106439595529537,7471
"22",114.93887207,-33.961188965,0.00261780104712042,11129
"23",114.88137207,-33.846188965,0.00261780104712042,6828
"24",114.89637207,-33.948688965,0.00106439595529537,10647
