"","x","y","inclusion.probabilities","ID"
"1",114.92637207,-33.781188965,0.00264026402640264,4428
"2",114.86887207,-33.666188965,0.000408663669799755,127
"3",114.82137207,-33.991188965,0.000587026709715292,12198
"4",114.87887207,-33.761188965,0.00264026402640264,3665
"5",114.92137207,-33.723688965,0.000587026709715292,2287
"6",114.89387207,-33.863688965,0.00264026402640264,7484
"7",114.85887207,-33.711188965,0.00264026402640264,1797
"8",114.82887207,-33.786188965,0.000587026709715292,4575
"9",114.94387207,-33.671188965,0.00264026402640264,343
"10",114.81387207,-33.771188965,0.00264026402640264,4011
"11",114.95887207,-33.808688965,0.000587026709715292,5464
"12",114.84387207,-33.948688965,0.000587026709715292,10626
"13",114.81637207,-33.718688965,0.00264026402640264,2059
"14",114.91637207,-33.858688965,0.00264026402640264,7307
"15",114.85887207,-33.743688965,0.00264026402640264,3006
"16",114.83137207,-33.821188965,0.000587026709715292,5878
"17",114.94637207,-33.706188965,0.000587026709715292,1646
"18",114.90887207,-33.996188965,0.000408663669799755,12419
"19",114.88137207,-33.728688965,0.000408663669799755,2457
"20",114.81887207,-33.856188965,0.00264026402640264,7175
"21",114.93387207,-33.741188965,0.000587026709715292,2943
"22",114.87637207,-33.931188965,0.000587026709715292,9988
"23",114.86137207,-33.778688965,0.000587026709715292,4309
"24",114.82637207,-33.701188965,0.000587026709715292,1412
